"","LocationID","Long","Lat","close_class","Jan_temp","Feb_temp","March_temp","April_temp","May_temp","June_temp","July_temp","Aug_temp","Sept_temp","Oct_temp","Nov_temp","Dec_temp","Average_annual_temp"
"41",43,-86,40,"0.1",-4.025,-1.925,4,10.35,16.2,21.3,23.325,22.125,18.55,12.025,5.45,-1.125,10.5208333333333
"42",44,-94,42,"0.1",-8.05,-5.175,1.825,9.525,15.975,21.025,23.4,21.8,17.3,10.9,2.775,-5.3,8.83333333333333
"43",45,-97,39,"0.1",-2.525,0.475,6.15,12.65,18.275,23.45,26.55,25.45,20.4,14.2,6.3,-0.275,12.5916666666667
"44",46,-85,38,"0.1",-0.2,1.95,7.075,12.625,17.5,22,24.125,23.475,19.9,13.625,7.625,2.175,12.65625
"45",47,-97,31,"0.1",8.775,11.05,15.35,19.85,23.475,26.9,28.9,28.975,25.7,20.5,14.85,10.275,19.55
"46",48,-69,45,"0.1",-9.15,-7.775,-1.925,4.85,11.425,16.575,19.625,18.475,13.55,7.725,1.7,-6.1,5.74791666666667
"47",49,-76,39,"0.1",0.825,2.075,6.575,12.05,17.45,22.15,24.625,23.8,20.125,14.025,8.425,3.125,12.9375
"48",50,-73,42,"0.1",-5.875,-4.675,0.6,6.825,13,17.8,20.525,19.375,15.1,9.3,3.7,-3.125,7.7125
"49",51,-85,44,"0.1",-7.775,-6.95,-1.425,6.05,12.45,17.475,20.05,18.675,14.35,8.325,1.85,-4.65,6.53541666666667
"50",52,-95,46,"0.1",-13.75,-10.175,-3.05,6.025,13.325,18.5,21.325,19.875,14.225,7.875,-1.5,-10.4,5.18958333333333
"51",53,-90,33,"0.1",5.95,8.2,12.675,17.225,21.3,25.075,26.55,26.25,23.25,17.275,12.1,7.575,16.9520833333333
"52",54,-98,38,"0.1",-1.775,1.3,6.75,12.925,18.325,23.925,27.025,25.825,20.8,14.4,6.475,0.125,13.0083333333333
"53",55,-110,47,"0.1",-5.625,-2.9,-0.25,5.025,10.025,14.475,18.175,17.8,12.25,7.4,0.25,-4.1,6.04375
"54",56,-110,42,"0.1",-10.825,-8.2,-2.8,3.05,8.625,13.65,17.875,16.5,10.8,4.6,-3.525,-9.775,3.33125
"55",57,-113,39,"0.1",-3.3,0.4,4.3,8.65,13.725,19.125,23.6,22.3,16.825,10.2,3.175,-2.6,9.7
"56",58,-72,44,"0.1",-9.275,-7.925,-2.2,4.625,11.35,16.225,18.775,17.525,13.1,7.175,1.1,-6.175,5.35833333333333
"57",59,-74,41,"0.1",-1.9,-0.675,4.125,10,15.75,20.725,23.525,22.65,18.475,12.375,6.9,0.875,11.06875
"58",60,-114,34,"0.1",10.3,13,15.6,19.625,24.4,29.55,33.075,32.05,28.325,22.05,14.95,10.35,21.10625
"59",61,-73,41,"0.1",-1.2,-0.366666666666667,3.73333333333333,9.1,14.5,19.7333333333333,22.7666666666667,22.1666666666667,18.3666666666667,12.6,7.16666666666667,1.43333333333333,10.8333333333333
"60",62,-79,36,"0.1",3.525,5.05,9.5,14.6,19.125,23.175,25.25,24.625,21.175,15.025,10.075,5.2,14.69375
"61",63,-100,47,"0.1",-13.925,-10.5,-3.45,5.4,12.55,17.8,21,19.95,13.65,7.2,-2.575,-11.025,4.67291666666667
"62",64,-83,40,"0.1",-3.05,-1.25,4.475,10.375,16.175,21,23,22.025,18.375,11.95,5.725,-0.2,10.7166666666667
"63",65,-97,36,"0.1",1.925,4.875,9.75,15.725,20.175,24.85,27.825,27.275,22.575,16.5,9.55,3.85,15.40625
"64",66,-120,44,"0.1",-3.25,-0.125,2.3,5.325,9.3,13.85,17.4,16.925,12.45,7.575,1.55,-2.7,6.71666666666667
"65",67,-78,41,"0.1",-4.825,-3.675,1.525,7.775,13.375,17.9,20.2,19.275,15.425,9.525,3.925,-2.25,8.18125
"66",68,-72,42,"0.1",-4.95,-3.775,1.4,7.325,13.225,18.1,21.025,20,15.65,9.85,4.55,-2.125,8.35625
"67",69,-81,34,"0.1",6.625,8.4,12.525,17.15,21.625,25.2,27.05,26.35,23.125,17.225,12.3,8.025,17.1333333333333
"68",70,-100,44,"0.1",-8.625,-5.325,0.475,8.075,14.525,20.15,23.95,22.85,16.775,9.8,0.55,-6.35,8.07083333333333
